Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price
Indiranagar,2535,4,4.0,5.0,Furnished,"Clubhouse, Intercom, Jogging Track",31080000
Whitefield,902,2,2.0,12.0,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",5020000
Thanisandra,1243,2,2.0,6.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Intercom, Landscaped Garden, Power Backup, Tennis Court",8050000
Rajajinagar,1448,3,2.0,10.0,Semi-Furnished,"Covered Parking, Intercom, Power Backup, Tennis Court",15450000
Electronic City,1224,2,2.0,1.0,Furnished,"Covered Parking, Jogging Track, Swimming Pool, Tennis Court",5670000
Bellandur,1652,3,3.0,10.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Intercom, Power Backup, Swimming Pool",13790000
HSR Layout,906,2,2.0,0.0,Furnished,"24/7 Security, Gym, Tennis Court",9010000
Hebbal,1397,3,2.0,6.0,Unfurnished,"Power Backup, Tennis Court",12040000
Jayanagar,749,1,1.0,0.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Tennis Court",8260000
Jayanagar,1590,3,3.0,10.0,Unfurnished,"Gym, Power Backup",17200000
HSR Layout,493,1,1.0,6.0,Unfurnished,"Clubhouse, Intercom, Landscaped Garden, Power Backup",3480000
Indiranagar,2775,4,4.0,10.0,Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Swimming Pool, Tennis Court",44520000
Bellandur,1306,2,2.0,1.0,Furnished,"Children's Play Area, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Power Backup",10470000
Electronic City,1081,2,2.0,11.0,Furnished,"Swimming Pool, Tennis Court",5570000
Jayanagar,1780,3,2.0,0.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Power Backup, Swimming Pool",22730000
Jayanagar,1629,3,3.0,6.0,Furnished,"24/7 Security, High-Speed Elevators, Power Backup",20720000
Rajajinagar,1722,3,3.0,2.0,Furnished,"Covered Parking, High-Speed Elevators, Intercom, Tennis Court",15940000
Malleshwaram,3743,5,5.0,0.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom",56290000
Marathahalli,1364,3,2.0,2.0,Semi-Furnished,"Children's Play Area, Gym, Landscaped Garden, Swimming Pool",10180000
Bellandur,2484,4,4.0,7.0,Unfurnished,"24/7 Security, Covered Parking, Landscaped Garden",18590000
Whitefield,3481,4,4.0,2.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",25620000
Thanisandra,1185,2,2.0,11.0,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",6270000
Koramangala,1366,2,2.0,9.0,Unfurnished,"High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool",13920000
HSR Layout,1283,2,1.0,0.0,Unfurnished,"Children's Play Area, Swimming Pool, Tennis Court",11270000
Whitefield,970,2,2.0,2.0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Tennis Court",5520000
Banashankari,941,2,2.0,20.0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",5420000
Malleshwaram,1237,2,2.0,5.0,Semi-Furnished,"Clubhouse, High-Speed Elevators, Swimming Pool, Tennis Court",12110000
Electronic City,3462,5,4.0,18.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Jogging Track, Tennis Court",16160000
Malleshwaram,994,2,1.0,4.0,Furnished,"High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",11600000
Indiranagar,994,2,2.0,28.0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Jogging Track",9540000
HSR Layout,3333,5,5.0,11.0,Furnished,"Children's Play Area, Clubhouse, Intercom, Power Backup, Swimming Pool",28740000
Hebbal,1972,3,2.0,2.0,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Landscaped Garden",16730000
Indiranagar,578,1,1.0,24.0,Unfurnished,"High-Speed Elevators, Landscaped Garden",4580000
Electronic City,1496,3,3.0,8.0,Unfurnished,"Children's Play Area, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",7780000
Rajajinagar,1085,2,2.0,8.0,Unfurnished,"Children's Play Area, Jogging Track, Power Backup",9620000
Electronic City,2342,4,3.0,7.0,Semi-Furnished,"Intercom, Landscaped Garden, Tennis Court",12930000
Hebbal,604,1,1.0,11.0,Semi-Furnished,"24/7 Security, Gym, Intercom, Jogging Track",3750000
Electronic City,1300,3,2.0,1.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom, Landscaped Garden, Tennis Court",6380000
Whitefield,2516,4,4.0,13.0,Unfurnished,"Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track",13020000
Yelahanka,1707,3,2.0,12.0,Unfurnished,"24/7 Security, Covered Parking, High-Speed Elevators",8570000
Thanisandra,1139,2,2.0,10.0,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",7410000
HSR Layout,903,2,2.0,,Semi-Furnished,"Intercom, Power Backup, Tennis Court",7580000
Sarjapur Road,1544,3,3.0,14.0,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",9950000
Electronic City,2733,4,4.0,2.0,Unfurnished,"Children's Play Area, Covered Parking, Gym, Jogging Track, Landscaped Garden, Tennis Court",14700000
Yelahanka,610,1,1.0,8.0,Semi-Furnished,"Swimming Pool, Tennis Court",3170000
Whitefield,1026,2,2.0,12.0,Furnished,"24/7 Security, Swimming Pool",5290000
Whitefield,2960,4,4.0,2.0,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",18990000
Whitefield,2974,4,3.0,6.0,Semi-Furnished,"Clubhouse, Covered Parking, Gym, Landscaped Garden, Swimming Pool",16410000
Bellandur,1841,3,3.0,7.0,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup, Tennis Court",12300000
Whitefield,2568,4,3.0,8.0,Unfurnished,"Covered Parking, High-Speed Elevators, Landscaped Garden",13520000
Rajajinagar,1811,3,2.0,2.0,Semi-Furnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Intercom, Swimming Pool",17770000
Hebbal,1297,2,2.0,2.0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Tennis Court",9810000
HSR Layout,2012,3,3.0,0.0,Furnished,"Children's Play Area, High-Speed Elevators, Landscaped Garden, Swimming Pool",20140000
Banashankari,1623,3,2.0,3.0,Semi-Furnished,"Clubhouse, Covered Parking, Intercom, Swimming Pool",11210000
Marathahalli,3717,5,4.0,2.0,Furnished,"Gym, Jogging Track, Swimming Pool",30460000
Sarjapur Road,1206,2,2.0,7.0,Semi-Furnished,"Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool, Tennis Court",8600000
Whitefield,1121,2,1.0,8.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",6770000
Marathahalli,1724,3,2.0,7.0,Furnished,"24/7 Security, Jogging Track, Landscaped Garden, Power Backup",11130000
Whitefield,1003,2,2.0,0.0,Unfurnished,"Children's Play Area, Clubhouse, Intercom, Power Backup",4650000
Koramangala,1047,2,2.0,14.0,Semi-Furnished,"Power Backup, Swimming Pool",11030000
Hebbal,1592,3,3.0,4.0,Semi-Furnished,"24/7 Security, Power Backup, Swimming Pool, Tennis Court",11590000
Yelahanka,3100,5,4.0,1.0,Semi-Furnished,"24/7 Security, Clubhouse, Intercom, Swimming Pool",20950000
Malleshwaram,1865,3,2.0,5.0,,"Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",19340000
Sarjapur Road,905,2,2.0,20.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",5200000
Indiranagar,1567,3,2.0,1.0,Furnished,"High-Speed Elevators, Jogging Track, Swimming Pool",19630000
HSR Layout,1428,3,2.0,,Unfurnished,"Gym, Power Backup, Swimming Pool",11540000
Whitefield,894,2,2.0,1.0,Unfurnished,"24/7 Security, Intercom, Power Backup",4720000
Rajajinagar,1794,3,3.0,6.0,Furnished,"Gym, Intercom, Swimming Pool",14810000
Whitefield,700,1,1.0,3.0,Unfurnished,"24/7 Security, Covered Parking, Gym, Landscaped Garden, Swimming Pool",3670000
Electronic City,1477,3,3.0,7.0,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",7550000
Koramangala,1194,2,2.0,2.0,Semi-Furnished,"Gym, Landscaped Garden, Tennis Court",14840000
Whitefield,1540,3,2.0,7.0,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track",7290000
Thanisandra,452,1,1.0,4.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym",2770000
Sarjapur Road,760,1,1.0,4.0,Semi-Furnished,"Clubhouse, Covered Parking, Gym, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",5390000
Bellandur,2296,4,3.0,5.0,Semi-Furnished,"Covered Parking, Intercom, Jogging Track",18080000
Whitefield,585,1,1.0,0.0,Semi-Furnished,"Children's Play Area, Landscaped Garden, Power Backup, Tennis Court",2960000
Whitefield,660,1,1.0,0.0,Semi-Furnished,"Children's Play Area, Landscaped Garden",3580000
Koramangala,965,2,2.0,1.0,Semi-Furnished,"Children's Play Area, Clubhouse, Jogging Track, Swimming Pool",10340000
Jayanagar,1685,3,2.0,5.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Landscaped Garden",17720000
Thanisandra,4119,5,5.0,3.0,Unfurnished,"Clubhouse, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",28360000
Bellandur,1309,2,2.0,15.0,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",10010000
HSR Layout,1660,3,3.0,0.0,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, Power Backup",18230000
Yelahanka,1110,2,2.0,,Unfurnished,"Covered Parking, Gym, Power Backup, Swimming Pool",6250000
Whitefield,1363,3,3.0,2.0,Furnished,"24/7 Security, Clubhouse, Intercom, Tennis Court",8640000
Rajajinagar,1037,2,2.0,16.0,Furnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",9080000
Rajajinagar,1805,3,2.0,0.0,Semi-Furnished,"Gym, High-Speed Elevators, Jogging Track",19850000
Thanisandra,1013,2,1.0,10.0,Furnished,"24/7 Security, Clubhouse, Covered Parking, Tennis Court",6170000
Koramangala,872,2,1.0,2.0,Semi-Furnished,"Covered Parking, Jogging Track, Landscaped Garden, Swimming Pool",10860000
Banashankari,570,1,1.0,3.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Jogging Track, Landscaped Garden, Tennis Court",3060000
Sarjapur Road,1810,3,3.0,4.0,Semi-Furnished,"Covered Parking, Tennis Court",14200000
HSR Layout,1824,3,3.0,0.0,Semi-Furnished,"Clubhouse, Covered Parking, Power Backup, Swimming Pool",21360000
Sarjapur Road,1127,2,2.0,2.0,,"Gym, Intercom, Jogging Track, Power Backup",7830000
Electronic City,2562,4,4.0,2.0,Furnished,"Clubhouse, Tennis Court",13240000
Sarjapur Road,1329,2,2.0,0.0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Landscaped Garden",9530000
Indiranagar,1102,2,2.0,6.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Power Backup",11710000
Marathahalli,1681,3,2.0,0.0,Semi-Furnished,"24/7 Security, Clubhouse, Intercom, Jogging Track, Power Backup",11030000
Malleshwaram,1028,2,2.0,1.0,Semi-Furnished,"Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool, Tennis Court",12860000
Hebbal,450,1,1.0,,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom",3380000
HSR Layout,1402,3,2.0,10.0,Furnished,"High-Speed Elevators, Landscaped Garden",13630000
Electronic City,803,2,2.0,16.0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Tennis Court",3390000
Thanisandra,1631,3,2.0,10.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",11230000
Whitefield,1799,3,3.0,2.0,Unfurnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",10880000
Hebbal,1900,3,3.0,1.0,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool, Tennis Court",19720000
Koramangala,1108,2,2.0,4.0,Semi-Furnished,"Children's Play Area, Gym, High-Speed Elevators",10460000
Jayanagar,1408,3,3.0,12.0,Unfurnished,"High-Speed Elevators, Landscaped Garden, Power Backup",14900000
HSR Layout,532,1,1.0,5.0,Semi-Furnished,"24/7 Security, Covered Parking, Swimming Pool",4630000
Whitefield,450,1,1.0,8.0,Semi-Furnished,"Children's Play Area, Jogging Track, Swimming Pool, Tennis Court",2400000
Sarjapur Road,1123,2,2.0,2.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom, Power Backup",7720000
Whitefield,2023,3,3.0,11.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, Intercom, Jogging Track, Tennis Court",10090000
Koramangala,1709,3,3.0,1.0,Unfurnished,"24/7 Security, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",20610000
Yelahanka,1419,3,2.0,5.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",9720000
Bellandur,1668,3,3.0,5.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators",13050000
Yelahanka,1710,3,3.0,2.0,Semi-Furnished,"Children's Play Area, Clubhouse, Swimming Pool, Tennis Court",9790000
Koramangala,960,2,2.0,2.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",13740000
Whitefield,2100,4,4.0,3.0,Semi-Furnished,"Covered Parking, Gym, Landscaped Garden, Swimming Pool",13850000
Indiranagar,995,2,1.0,5.0,Semi-Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",11900000
Malleshwaram,696,1,1.0,1.0,Furnished,"Children's Play Area, Clubhouse, Gym, Power Backup, Swimming Pool, Tennis Court",7470000
Sarjapur Road,1878,3,2.0,20.0,Unfurnished,"Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool, Tennis Court",11690000
Bellandur,1239,2,2.0,1.0,Semi-Furnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",8150000
Electronic City,1433,3,3.0,0.0,Unfurnished,"Covered Parking, High-Speed Elevators, Intercom, Jogging Track",6320000
Bellandur,1226,2,2.0,2.0,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",8750000
Marathahalli,1241,2,2.0,1.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool",7710000
Whitefield,1032,2,1.0,10.0,Furnished,"Children's Play Area, Clubhouse, Intercom, Landscaped Garden, Swimming Pool",5400000
Marathahalli,1616,3,2.0,5.0,Semi-Furnished,"24/7 Security, Clubhouse, Power Backup",9770000
Indiranagar,1307,3,,2.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Intercom, Jogging Track, Power Backup, Tennis Court",20390000
Whitefield,1569,3,3.0,1.0,Semi-Furnished,"Children's Play Area, Covered Parking, Intercom, Power Backup, Swimming Pool",8960000
Malleshwaram,1836,3,3.0,26.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",14150000
Marathahalli,1198,2,2.0,22.0,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom",6300000
Whitefield,584,1,1.0,7.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Intercom, Power Backup, Swimming Pool",3310000
Marathahalli,1300,3,2.0,9.0,Semi-Furnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden, Power Backup",7400000
Rajajinagar,1822,3,2.0,4.0,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Landscaped Garden",18930000
Rajajinagar,1159,2,,13.0,Unfurnished,"Covered Parking, High-Speed Elevators, Power Backup, Swimming Pool",10630000
HSR Layout,1794,3,3.0,1.0,Semi-Furnished,"Gym, Swimming Pool",16840000
Whitefield,800,2,2.0,1.0,Semi-Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Swimming Pool",4420000
Bellandur,562,1,1.0,0.0,Furnished,"24/7 Security, Gym, High-Speed Elevators, Jogging Track, Power Backup",3980000
Jayanagar,1015,2,2.0,1.0,Furnished,"Children's Play Area, Clubhouse, Jogging Track",12850000
Electronic City,742,1,1.0,3.0,Semi-Furnished,"Covered Parking, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",3470000
HSR Layout,1676,3,3.0,0.0,Furnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Power Backup, Tennis Court",19000000
HSR Layout,1132,2,2.0,8.0,Semi-Furnished,"Children's Play Area, Gym, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",9980000
Indiranagar,2100,4,3.0,1.0,Semi-Furnished,"24/7 Security, Clubhouse, Intercom",28230000
Rajajinagar,697,1,1.0,1.0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Power Backup",7410000
Koramangala,918,2,2.0,3.0,Furnished,"Gym, Intercom, Landscaped Garden",12380000
Koramangala,617,1,1.0,1.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track",6620000
Electronic City,1055,2,2.0,23.0,Unfurnished,"24/7 Security, High-Speed Elevators, Intercom",4300000
Hebbal,961,2,2.0,9.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Jogging Track, Swimming Pool",7880000
Electronic City,1854,3,3.0,1.0,Unfurnished,"Clubhouse, Gym, Power Backup, Swimming Pool",9660000
Marathahalli,1300,3,3.0,11.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden",8060000
Electronic City,1217,2,2.0,4.0,Furnished,"Covered Parking, High-Speed Elevators, Power Backup, Swimming Pool",6780000
Hebbal,2208,4,3.0,7.0,Semi-Furnished,"24/7 Security, Covered Parking, Power Backup, Swimming Pool",20120000
HSR Layout,569,1,1.0,0.0,Semi-Furnished,"Children's Play Area, Intercom, Landscaped Garden",5480000
Marathahalli,1012,2,2.0,6.0,Furnished,"Covered Parking, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",6230000
Bellandur,1274,2,2.0,7.0,Semi-Furnished,"Jogging Track, Landscaped Garden",9430000
Electronic City,1028,2,2.0,8.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Jogging Track",4560000
Jayanagar,2583,4,4.0,1.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Power Backup, Tennis Court",32030000
Sarjapur Road,1356,2,2.0,16.0,Semi-Furnished,"Clubhouse, Power Backup, Tennis Court",8090000
Indiranagar,1120,2,1.0,3.0,Semi-Furnished,"Children's Play Area, Gym, Tennis Court",15460000
Hebbal,2057,3,2.0,3.0,Unfurnished,"Children's Play Area, Clubhouse, Gym, Power Backup",20240000
Electronic City,2436,4,3.0,1.0,Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",13290000
Sarjapur Road,1041,2,1.0,0.0,Furnished,"Gym, High-Speed Elevators, Power Backup",6750000
Koramangala,1084,2,2.0,0.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",13990000
HSR Layout,1022,2,2.0,4.0,Semi-Furnished,"24/7 Security, Covered Parking, Jogging Track, Power Backup",8680000
Whitefield,611,1,1.0,5.0,Unfurnished,"High-Speed Elevators, Intercom, Swimming Pool",2770000
Yelahanka,2509,4,3.0,9.0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Tennis Court",15670000
Banashankari,1611,3,3.0,4.0,Semi-Furnished,"Gym, Tennis Court",10550000
Jayanagar,1187,2,2.0,5.0,Furnished,"24/7 Security, Covered Parking, Intercom, Tennis Court",14870000
Koramangala,1102,2,1.0,7.0,Unfurnished,"24/7 Security, High-Speed Elevators, Jogging Track",13090000
Hebbal,603,1,1.0,1.0,Unfurnished,"Children's Play Area, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",4370000
Bellandur,686,1,1.0,15.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Swimming Pool, Tennis Court",4610000
HSR Layout,1111,2,2.0,8.0,Unfurnished,"Children's Play Area, Clubhouse, Landscaped Garden",8530000
Sarjapur Road,1633,3,3.0,2.0,Semi-Furnished,"Covered Parking, Intercom, Swimming Pool",11320000
Indiranagar,1431,3,3.0,7.0,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool, Tennis Court",19210000
Thanisandra,1104,2,2.0,2.0,Unfurnished,"Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",6290000
HSR Layout,878,2,2.0,2.0,Semi-Furnished,"Intercom, Power Backup, Tennis Court",8300000
Hebbal,2576,4,4.0,8.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden",20180000
Hebbal,2284,3,3.0,18.0,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",18480000
Yelahanka,522,1,1.0,16.0,Unfurnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",2810000
Marathahalli,585,1,1.0,3.0,Unfurnished,"Clubhouse, Gym, Jogging Track, Swimming Pool, Tennis Court",3590000
Whitefield,1582,3,2.0,,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, Intercom, Jogging Track, Swimming Pool",9620000
Indiranagar,1500,3,3.0,20.0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",15350000
Thanisandra,1042,2,2.0,2.0,Semi-Furnished,"24/7 Security, Landscaped Garden, Power Backup, Tennis Court",6470000
Indiranagar,1678,3,3.0,3.0,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Landscaped Garden, Tennis Court",22080000
Whitefield,933,2,1.0,4.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",5120000
Hebbal,922,2,1.0,0.0,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Landscaped Garden",8060000
Electronic City,1688,3,3.0,1.0,Unfurnished,"Clubhouse, Covered Parking, Intercom, Tennis Court",8050000
Yelahanka,2545,4,4.0,12.0,Furnished,"24/7 Security, Landscaped Garden, Power Backup",18520000
Koramangala,1670,3,3.0,2.0,Semi-Furnished,"Gym, Intercom, Swimming Pool, Tennis Court",22720000
Bellandur,1300,3,2.0,3.0,Furnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Intercom, Power Backup",10830000
Sarjapur Road,1076,2,1.0,0.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",8820000
Electronic City,2252,4,4.0,10.0,Unfurnished,"Gym, Intercom, Swimming Pool",10300000
Whitefield,2579,4,4.0,3.0,Unfurnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Swimming Pool",14990000
Marathahalli,1071,2,2.0,12.0,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",6310000
Electronic City,1207,2,2.0,1.0,Furnished,"Clubhouse, High-Speed Elevators, Tennis Court",5260000
Malleshwaram,1748,3,2.0,0.0,Semi-Furnished,"Clubhouse, High-Speed Elevators",23260000
Indiranagar,1233,2,2.0,5.0,Furnished,"Clubhouse, Power Backup, Swimming Pool",16100000
Marathahalli,1801,3,3.0,0.0,Semi-Furnished,"High-Speed Elevators, Jogging Track, Swimming Pool, Tennis Court",14390000
Sarjapur Road,1566,3,2.0,1.0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Tennis Court",12610000
Electronic City,1144,2,2.0,16.0,Unfurnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",4950000
Indiranagar,1024,2,2.0,11.0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Swimming Pool",13570000
Bellandur,1355,3,3.0,1.0,Semi-Furnished,"Covered Parking, Power Backup",11730000
Bellandur,1308,2,1.0,4.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom",9860000
Sarjapur Road,1108,2,2.0,0.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Landscaped Garden",7080000
Whitefield,1556,3,3.0,21.0,Furnished,"Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",9300000
Electronic City,1300,3,3.0,4.0,Semi-Furnished,"Children's Play Area, Intercom, Tennis Court",5940000
Whitefield,2060,3,3.0,3.0,Furnished,"Clubhouse, Gym, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",14560000
Bellandur,1376,3,2.0,1.0,Unfurnished,"Clubhouse, Gym, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",10800000
Marathahalli,845,2,2.0,1.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",5900000
Malleshwaram,1614,3,3.0,3.0,Semi-Furnished,"Children's Play Area, Intercom",17670000
Banashankari,2425,4,4.0,0.0,Semi-Furnished,"Clubhouse, High-Speed Elevators, Jogging Track",17660000
Banashankari,1726,3,2.0,8.0,Furnished,"Covered Parking, Gym, High-Speed Elevators, Power Backup",13380000
Hebbal,1021,2,2.0,12.0,Unfurnished,"Clubhouse, Intercom, Landscaped Garden, Power Backup, Tennis Court",7810000
Yelahanka,1481,3,3.0,4.0,Furnished,"Gym, Intercom, Jogging Track, Swimming Pool",9280000
Thanisandra,955,2,2.0,2.0,Unfurnished,"Children's Play Area, Clubhouse, Intercom, Jogging Track, Tennis Court",6010000
Thanisandra,2169,4,4.0,10.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool",14170000
Whitefield,2777,4,4.0,6.0,Semi-Furnished,"Children's Play Area, Clubhouse, Landscaped Garden, Power Backup, Tennis Court",16020000
Electronic City,2677,4,3.0,28.0,Unfurnished,"High-Speed Elevators, Landscaped Garden",10310000
