Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
Thanisandra,1176,2,2,21,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",6420000.0,5459.18,Old (20+ yrs),6.43
Banashankari,776,1,1,8,Semi-Furnished,"Covered Parking, Jogging Track, Swimming Pool",6260000.0,8067.01,Modern (4-10 yrs),2.59
Indiranagar,1485,3,3,0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Swimming Pool",19550000.0,13164.98,New (0-3 yrs),4.2
Indiranagar,1517,3,3,9,Semi-Furnished,"Clubhouse, Gym, Power Backup",17710000.0,11674.36,Modern (4-10 yrs),2.68
Jayanagar,1002,2,2,10,Semi-Furnished,"Clubhouse, Tennis Court",10510000.0,10489.02,Modern (4-10 yrs),2.32
Malleshwaram,1256,2,2,6,Semi-Furnished,"Intercom, Power Backup",15200000.0,12101.91,Modern (4-10 yrs),1.16
Koramangala,4263,5,4,12,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Tennis Court",54770000.0,12847.76,Established (11-20 yrs),3.93
Electronic City,1612,3,2,4,Semi-Furnished,"Children's Play Area, Jogging Track, Power Backup",8270000.0,5130.27,Modern (4-10 yrs),1.88
Hebbal,1141,2,2,2,Furnished,"24/7 Security, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",10240000.0,8974.58,New (0-3 yrs),4.55
Indiranagar,1402,3,2,5,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Intercom",16240000.0,11583.45,Modern (4-10 yrs),2.68
Bellandur,857,2,1,1,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators",6540000.0,7631.27,New (0-3 yrs),3.48
Rajajinagar,1001,2,2,15,Unfurnished,"Clubhouse, Covered Parking, Intercom, Power Backup",9020000.0,9010.99,Established (11-20 yrs),2.95
Sarjapur Road,801,2,2,24,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Power Backup",4350000.0,5430.71,Old (20+ yrs),3.12
Hebbal,1456,3,2,6,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",11850000.0,8138.74,Modern (4-10 yrs),4.73
Whitefield,1133,2,2,20,Unfurnished,"24/7 Security, Gym, Power Backup, Tennis Court",5660000.0,4995.59,Established (11-20 yrs),3.57
HSR Layout,1494,3,2,1,Unfurnished,"24/7 Security, Covered Parking, Power Backup, Swimming Pool, Tennis Court",13410000.0,8975.9,New (0-3 yrs),4.73
Malleshwaram,2717,4,4,15,Unfurnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",31630000.0,11641.52,Established (11-20 yrs),5.62
Electronic City,889,2,2,0,Unfurnished,"Covered Parking, Gym, Jogging Track, Swimming Pool, Tennis Court",4460000.0,5016.87,New (0-3 yrs),4.73
Hebbal,2748,4,3,0,Furnished,"24/7 Security, High-Speed Elevators, Tennis Court",28370000.0,10323.87,New (0-3 yrs),2.86
HSR Layout,1614,3,2,0,Semi-Furnished,"Children's Play Area, Gym, Jogging Track",14960000.0,9268.9,New (0-3 yrs),2.05
HSR Layout,1300,3,3,2,Furnished,"Children's Play Area, Covered Parking, Gym, Jogging Track, Power Backup",12930000.0,9946.15,New (0-3 yrs),3.48
Whitefield,1797,3,3,1,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",11660000.0,6488.59,New (0-3 yrs),5.71
Whitefield,1211,2,2,1,Furnished,"24/7 Security, Children's Play Area, Gym",6060000.0,5004.13,New (0-3 yrs),2.23
HSR Layout,1619,3,2,3,Furnished,"Children's Play Area, Covered Parking, Intercom",15560000.0,9610.87,New (0-3 yrs),1.79
Whitefield,1113,2,2,1,Unfurnished,"Clubhouse, Gym, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",7050000.0,6334.23,New (0-3 yrs),6.25
Sarjapur Road,1779,3,2,6,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Intercom",13050000.0,7335.58,Modern (4-10 yrs),2.68
Koramangala,1074,2,2,5,Furnished,"Gym, Power Backup, Swimming Pool, Tennis Court",12870000.0,11983.24,Modern (4-10 yrs),4.2
HSR Layout,1157,2,2,1,Furnished,"24/7 Security, Covered Parking",9980000.0,8625.76,New (0-3 yrs),1.43
Whitefield,603,1,1,4,Unfurnished,"Clubhouse, Gym, Jogging Track, Landscaped Garden",3390000.0,5621.89,Modern (4-10 yrs),3.3
Whitefield,1066,2,2,8,Furnished,"Clubhouse, Intercom, Landscaped Garden",5630000.0,5281.43,Modern (4-10 yrs),2.32
Whitefield,1400,3,3,22,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",7860000.0,5614.29,Old (20+ yrs),3.39
Electronic City,1300,3,2,9,Semi-Furnished,"24/7 Security, High-Speed Elevators, Power Backup, Tennis Court",6570000.0,5053.85,Modern (4-10 yrs),3.57
Electronic City,2100,4,4,17,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Power Backup, Tennis Court",11200000.0,5333.33,Established (11-20 yrs),6.7
Yelahanka,992,2,2,2,Unfurnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",5420000.0,5463.71,New (0-3 yrs),4.91
Sarjapur Road,1910,3,3,0,Semi-Furnished,"Children's Play Area, Swimming Pool",11630000.0,6089.01,New (0-3 yrs),1.96
Indiranagar,1483,3,3,7,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Swimming Pool",19730000.0,13304.11,Modern (4-10 yrs),4.02
Indiranagar,1805,3,3,2,Furnished,"24/7 Security, Clubhouse, Covered Parking, Landscaped Garden, Power Backup",23140000.0,12819.94,New (0-3 yrs),4.02
Whitefield,1300,3,3,11,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators",6790000.0,5223.08,Established (11-20 yrs),3.3
Whitefield,1545,3,2,3,Furnished,"24/7 Security, Covered Parking, Intercom, Tennis Court",8520000.0,5514.56,New (0-3 yrs),3.12
Marathahalli,930,2,2,3,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, Power Backup, Swimming Pool, Tennis Court",6580000.0,7075.27,New (0-3 yrs),7.32
Thanisandra,2841,4,4,10,Furnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Tennis Court",17220000.0,6061.25,Modern (4-10 yrs),3.48
Banashankari,2033,3,3,4,Unfurnished,"Clubhouse, Covered Parking, High-Speed Elevators",12220000.0,6010.82,Modern (4-10 yrs),2.68
Banashankari,1388,2,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Landscaped Garden, Power Backup, Tennis Court",10090000.0,7269.45,New (0-3 yrs),4.11
Bellandur,800,2,2,3,Unfurnished,"24/7 Security, Children's Play Area, Gym, Swimming Pool, Tennis Court",5680000.0,7100.0,New (0-3 yrs),4.82
Electronic City,1580,3,3,1,Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Tennis Court",8270000.0,5234.18,New (0-3 yrs),5.27
HSR Layout,1391,3,2,0,Semi-Furnished,"Clubhouse, Intercom, Swimming Pool",14860000.0,10682.96,New (0-3 yrs),2.86
Rajajinagar,3036,4,4,7,Semi-Furnished,"Covered Parking, Intercom, Jogging Track, Tennis Court",31650000.0,10424.9,Modern (4-10 yrs),2.95
Koramangala,1198,2,2,10,Semi-Furnished,"Covered Parking, Jogging Track, Landscaped Garden, Tennis Court",10550000.0,8806.34,Modern (4-10 yrs),3.3
HSR Layout,963,2,2,11,Furnished,"Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",8840000.0,9179.65,Established (11-20 yrs),6.43
Marathahalli,1656,3,3,0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Swimming Pool, Tennis Court",13470000.0,8134.06,New (0-3 yrs),5.89
Whitefield,930,2,1,4,Semi-Furnished,"Clubhouse, Landscaped Garden, Power Backup, Tennis Court",5010000.0,5387.1,Modern (4-10 yrs),3.84
Electronic City,1117,2,2,10,Semi-Furnished,"Children's Play Area, Swimming Pool",4960000.0,4440.47,Modern (4-10 yrs),1.96
Electronic City,1300,3,3,4,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",7310000.0,5623.08,Modern (4-10 yrs),7.59
Sarjapur Road,1510,3,3,6,Semi-Furnished,"24/7 Security, Clubhouse, Jogging Track, Swimming Pool",9830000.0,6509.93,Modern (4-10 yrs),3.66
Electronic City,1710,3,2,0,Semi-Furnished,"24/7 Security, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",9590000.0,5608.19,New (0-3 yrs),4.82
Koramangala,1830,3,2,9,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Tennis Court",20550000.0,11229.51,Modern (4-10 yrs),3.93
Marathahalli,1072,2,1,1,Semi-Furnished,"24/7 Security, Gym",6990000.0,6520.52,New (0-3 yrs),1.61
Hebbal,800,2,2,1,Semi-Furnished,"Gym, Intercom, Jogging Track, Swimming Pool, Tennis Court",7600000.0,9500.0,New (0-3 yrs),4.46
Koramangala,561,1,1,4,Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup",7080000.0,12620.32,Modern (4-10 yrs),4.55
Whitefield,2140,4,4,1,Semi-Furnished,"Gym, Power Backup",13170000.0,6154.21,New (0-3 yrs),1.61
HSR Layout,571,1,1,2,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Tennis Court",5220000.0,9141.86,New (0-3 yrs),5.89
Electronic City,2630,4,4,5,Unfurnished,"24/7 Security, Covered Parking, Swimming Pool, Tennis Court",11360000.0,4319.39,Modern (4-10 yrs),4.02
Bellandur,2043,3,2,1,Semi-Furnished,"Clubhouse, Gym, Jogging Track, Landscaped Garden",15380000.0,7528.14,New (0-3 yrs),3.3
HSR Layout,1186,2,2,1,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",12950000.0,10919.06,New (0-3 yrs),3.57
Jayanagar,4350,5,5,4,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Intercom, Jogging Track, Tennis Court",52700000.0,12114.94,Modern (4-10 yrs),5.18
Bellandur,480,1,1,0,Semi-Furnished,"Covered Parking, Intercom, Landscaped Garden",3630000.0,7562.5,New (0-3 yrs),1.96
Jayanagar,2085,3,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",22530000.0,10805.76,New (0-3 yrs),6.61
Koramangala,1514,3,3,1,Furnished,"24/7 Security, Covered Parking, Gym",20190000.0,13335.54,New (0-3 yrs),2.32
Whitefield,1715,3,2,3,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Jogging Track, Landscaped Garden",11130000.0,6489.8,New (0-3 yrs),4.29
Electronic City,2993,4,3,7,Unfurnished,"Covered Parking, Intercom, Landscaped Garden",13930000.0,4654.19,Modern (4-10 yrs),1.96
Indiranagar,565,1,1,11,Unfurnished,"Covered Parking, Gym, Landscaped Garden, Swimming Pool, Tennis Court",5900000.0,10442.48,Established (11-20 yrs),5.0
Electronic City,3775,5,5,2,Semi-Furnished,"Landscaped Garden, Swimming Pool, Tennis Court",21250000.0,5629.14,New (0-3 yrs),3.39
Malleshwaram,604,1,1,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Jogging Track",6620000.0,10960.26,New (0-3 yrs),3.66
Rajajinagar,1946,3,3,0,Semi-Furnished,"Gym, High-Speed Elevators, Landscaped Garden",20250000.0,10405.96,New (0-3 yrs),2.59
Marathahalli,1746,3,3,2,Semi-Furnished,"Gym, Intercom, Jogging Track, Power Backup, Swimming Pool",14100000.0,8075.6,New (0-3 yrs),3.93
HSR Layout,1761,3,2,5,Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Power Backup, Swimming Pool",16120000.0,9153.89,Modern (4-10 yrs),4.73
Whitefield,1283,2,2,10,Unfurnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup",6920000.0,5393.61,Modern (4-10 yrs),4.11
Marathahalli,3002,4,3,0,Unfurnished,"Children's Play Area, Covered Parking, Gym, Power Backup",21680000.0,7221.85,New (0-3 yrs),2.95
HSR Layout,1149,2,1,3,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Power Backup, Tennis Court",9970000.0,8677.11,New (0-3 yrs),4.11
Whitefield,2390,4,3,1,Semi-Furnished,"Covered Parking, Intercom, Swimming Pool",14300000.0,5983.26,New (0-3 yrs),2.5
Yelahanka,2060,3,3,10,Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",15150000.0,7354.37,Modern (4-10 yrs),5.8
Marathahalli,4426,5,4,11,Furnished,"24/7 Security, Clubhouse, Gym, Intercom, Jogging Track, Power Backup, Swimming Pool",37950000.0,8574.33,Established (11-20 yrs),5.71
Sarjapur Road,1424,3,2,17,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Jogging Track, Tennis Court",8450000.0,5933.99,Established (11-20 yrs),4.02
Hebbal,805,2,2,9,Unfurnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators",6340000.0,7875.78,Modern (4-10 yrs),3.12
Hebbal,1290,2,2,8,Unfurnished,"24/7 Security, Gym, Tennis Court",8590000.0,6658.91,Modern (4-10 yrs),2.86
Bellandur,1540,3,2,2,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",12180000.0,7909.09,New (0-3 yrs),4.82
HSR Layout,965,2,2,3,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Swimming Pool",8530000.0,8839.38,New (0-3 yrs),4.02
Hebbal,450,1,1,4,Furnished,"Clubhouse, Intercom, Landscaped Garden, Power Backup, Tennis Court",4270000.0,9488.89,Modern (4-10 yrs),4.29
Sarjapur Road,4047,5,5,1,Semi-Furnished,"24/7 Security, Covered Parking, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",34920000.0,8628.61,New (0-3 yrs),5.54
Sarjapur Road,848,2,1,18,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Intercom, Landscaped Garden, Power Backup",4840000.0,5707.55,Established (11-20 yrs),4.46
Hebbal,914,2,2,0,Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Intercom, Power Backup",9360000.0,10240.7,New (0-3 yrs),4.29
Whitefield,2362,4,4,6,Semi-Furnished,"Covered Parking, High-Speed Elevators, Landscaped Garden, Swimming Pool",14770000.0,6253.18,Modern (4-10 yrs),3.75
HSR Layout,862,2,1,8,Semi-Furnished,"Gym, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",7760000.0,9002.32,Modern (4-10 yrs),4.82
Bellandur,1466,3,3,3,Semi-Furnished,"Clubhouse, High-Speed Elevators, Intercom, Swimming Pool",12390000.0,8451.57,New (0-3 yrs),3.75
Thanisandra,3334,4,4,0,Semi-Furnished,"Children's Play Area, Jogging Track, Swimming Pool, Tennis Court",24030000.0,7207.56,New (0-3 yrs),3.75
Bellandur,1208,2,2,1,Semi-Furnished,"24/7 Security, Gym, Power Backup",10590000.0,8766.56,New (0-3 yrs),2.32
Bellandur,1909,3,3,5,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, Swimming Pool",14810000.0,7757.99,Modern (4-10 yrs),3.39
Electronic City,1300,3,3,1,Furnished,"Intercom, Landscaped Garden, Tennis Court",7390000.0,5684.62,New (0-3 yrs),2.5
Rajajinagar,4891,5,5,8,Semi-Furnished,"Clubhouse, Landscaped Garden, Power Backup",53610000.0,10960.95,Modern (4-10 yrs),2.59
Whitefield,2686,4,4,2,Semi-Furnished,"Intercom, Swimming Pool",16590000.0,6176.47,New (0-3 yrs),1.79
Yelahanka,1031,2,2,1,Semi-Furnished,"Children's Play Area, Clubhouse, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",6940000.0,6731.33,New (0-3 yrs),5.62
Whitefield,1536,3,2,2,Unfurnished,"Children's Play Area, Covered Parking, Intercom, Power Backup, Swimming Pool, Tennis Court",9820000.0,6393.23,New (0-3 yrs),5.09
Koramangala,1054,2,2,8,Semi-Furnished,"Gym, High-Speed Elevators, Landscaped Garden, Tennis Court",11930000.0,11318.79,Modern (4-10 yrs),3.84
Indiranagar,1013,2,2,0,Semi-Furnished,"Jogging Track, Power Backup, Tennis Court",10700000.0,10562.69,New (0-3 yrs),2.5
Hebbal,1258,2,2,8,Semi-Furnished,"Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",10130000.0,8052.46,Modern (4-10 yrs),4.38
Yelahanka,1524,3,2,1,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Landscaped Garden, Tennis Court",8370000.0,5492.13,New (0-3 yrs),4.64
Marathahalli,944,2,1,11,Unfurnished,"Intercom, Landscaped Garden, Power Backup",5520000.0,5847.46,Established (11-20 yrs),1.96
Jayanagar,2690,4,4,2,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool",36310000.0,13498.14,New (0-3 yrs),4.55
Marathahalli,1189,2,2,1,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Swimming Pool, Tennis Court",8360000.0,7031.12,New (0-3 yrs),4.82
Whitefield,1191,2,2,2,Semi-Furnished,"Children's Play Area, Intercom",6090000.0,5113.35,New (0-3 yrs),1.07
Yelahanka,959,2,2,0,Unfurnished,"24/7 Security, Covered Parking, Intercom, Jogging Track, Power Backup, Swimming Pool",5730000.0,5974.97,New (0-3 yrs),4.46
Sarjapur Road,929,2,2,28,Semi-Furnished,"Clubhouse, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Swimming Pool",5560000.0,5984.93,Old (20+ yrs),5.45
Sarjapur Road,1270,2,2,5,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom",9620000.0,7574.8,Modern (4-10 yrs),3.3
HSR Layout,1004,2,2,0,Semi-Furnished,"Intercom, Jogging Track, Landscaped Garden, Tennis Court",8570000.0,8535.86,New (0-3 yrs),3.04
Whitefield,1021,2,2,1,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Tennis Court",6900000.0,6758.08,New (0-3 yrs),5.36
Electronic City,1563,3,2,11,Furnished,"Covered Parking, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",7380000.0,4721.69,Established (11-20 yrs),4.55
Yelahanka,2651,4,4,0,Unfurnished,"Children's Play Area, Clubhouse, Jogging Track",17090000.0,6446.62,New (0-3 yrs),2.23
HSR Layout,1385,3,3,28,Furnished,"Children's Play Area, Covered Parking, Jogging Track, Landscaped Garden",9690000.0,6996.39,Old (20+ yrs),2.68
Jayanagar,1066,2,2,4,Semi-Furnished,"24/7 Security, Swimming Pool",10480000.0,9831.14,Modern (4-10 yrs),2.05
Indiranagar,1097,2,2,13,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Jogging Track, Swimming Pool, Tennis Court",13630000.0,12424.79,Established (11-20 yrs),6.52
HSR Layout,1712,3,2,13,Furnished,"24/7 Security, High-Speed Elevators, Jogging Track, Tennis Court",14790000.0,8639.02,Established (11-20 yrs),3.39
Indiranagar,1816,3,3,5,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Tennis Court",22320000.0,12290.75,Modern (4-10 yrs),2.95
Hebbal,1320,2,2,6,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Tennis Court",10340000.0,7833.33,Modern (4-10 yrs),2.95
Whitefield,1914,3,3,8,Furnished,"24/7 Security, Covered Parking, Gym, Power Backup, Swimming Pool",11550000.0,6034.48,Modern (4-10 yrs),4.38
Electronic City,2100,4,4,5,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Landscaped Garden, Tennis Court",11710000.0,5576.19,Modern (4-10 yrs),6.34
Malleshwaram,3392,5,5,2,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Power Backup",48000000.0,14150.94,New (0-3 yrs),4.2
Sarjapur Road,1681,3,2,2,Unfurnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",11440000.0,6805.47,New (0-3 yrs),3.75
Sarjapur Road,800,2,1,4,Unfurnished,"Gym, Tennis Court",4600000.0,5750.0,Modern (4-10 yrs),2.14
Hebbal,1649,3,3,1,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Power Backup, Tennis Court",15240000.0,9241.96,New (0-3 yrs),4.2
Malleshwaram,1837,3,2,1,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Swimming Pool, Tennis Court",20010000.0,10892.76,New (0-3 yrs),4.29
Thanisandra,1603,3,3,6,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup",11010000.0,6868.37,Modern (4-10 yrs),6.61
Hebbal,981,2,2,9,Semi-Furnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Jogging Track",7910000.0,8063.2,Modern (4-10 yrs),2.77
Indiranagar,2535,4,4,5,Furnished,"Clubhouse, Intercom, Jogging Track",31080000.0,12260.36,Modern (4-10 yrs),2.05
Whitefield,902,2,2,12,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",5020000.0,5565.41,Established (11-20 yrs),2.41
Thanisandra,1243,2,2,6,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Intercom, Landscaped Garden, Power Backup, Tennis Court",8050000.0,6476.27,Modern (4-10 yrs),6.34
Rajajinagar,1448,3,2,10,Semi-Furnished,"Covered Parking, Intercom, Power Backup, Tennis Court",15450000.0,10669.89,Modern (4-10 yrs),3.12
Electronic City,1224,2,2,1,Furnished,"Covered Parking, Jogging Track, Swimming Pool, Tennis Court",5670000.0,4632.35,New (0-3 yrs),3.84
Bellandur,1652,3,3,10,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Intercom, Power Backup, Swimming Pool",13790000.0,8347.46,Modern (4-10 yrs),5.62
HSR Layout,906,2,2,0,Furnished,"24/7 Security, Gym, Tennis Court",9010000.0,9944.81,New (0-3 yrs),2.86
Hebbal,1397,3,2,6,Unfurnished,"Power Backup, Tennis Court",12040000.0,8618.47,Modern (4-10 yrs),1.96
Jayanagar,749,1,1,0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Tennis Court",8260000.0,11028.04,New (0-3 yrs),2.86
Jayanagar,1590,3,3,10,Unfurnished,"Gym, Power Backup",17200000.0,10817.61,Modern (4-10 yrs),1.61
HSR Layout,493,1,1,6,Unfurnished,"Clubhouse, Intercom, Landscaped Garden, Power Backup",3480000.0,7058.82,Modern (4-10 yrs),3.04
Indiranagar,2775,4,4,10,Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Swimming Pool, Tennis Court",44520000.0,16043.24,Modern (4-10 yrs),5.98
Bellandur,1306,2,2,1,Furnished,"Children's Play Area, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Power Backup",10470000.0,8016.85,New (0-3 yrs),3.84
Electronic City,1081,2,2,11,Furnished,"Swimming Pool, Tennis Court",5570000.0,5152.64,Established (11-20 yrs),2.59
Jayanagar,1780,3,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Power Backup, Swimming Pool",22730000.0,12769.66,New (0-3 yrs),5.36
Jayanagar,1629,3,3,6,Furnished,"24/7 Security, High-Speed Elevators, Power Backup",20720000.0,12719.46,Modern (4-10 yrs),2.32
Rajajinagar,1722,3,3,2,Furnished,"Covered Parking, High-Speed Elevators, Intercom, Tennis Court",15940000.0,9256.68,New (0-3 yrs),3.3
Malleshwaram,3743,5,5,0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom",56290000.0,15038.74,New (0-3 yrs),5.36
Marathahalli,1364,3,2,2,Semi-Furnished,"Children's Play Area, Gym, Landscaped Garden, Swimming Pool",10180000.0,7463.34,New (0-3 yrs),3.66
Bellandur,2484,4,4,7,Unfurnished,"24/7 Security, Covered Parking, Landscaped Garden",18590000.0,7483.9,Modern (4-10 yrs),2.23
Whitefield,3481,4,4,2,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",25620000.0,7359.95,New (0-3 yrs),6.7
Thanisandra,1185,2,2,11,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",6270000.0,5291.14,Established (11-20 yrs),4.29
Koramangala,1366,2,2,9,Unfurnished,"High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool",13920000.0,10190.34,Modern (4-10 yrs),3.48
HSR Layout,1283,2,1,0,Unfurnished,"Children's Play Area, Swimming Pool, Tennis Court",11270000.0,8784.1,New (0-3 yrs),3.21
Whitefield,970,2,2,2,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Tennis Court",5520000.0,5690.72,New (0-3 yrs),6.43
Banashankari,941,2,2,20,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",5420000.0,5759.83,Established (11-20 yrs),4.55
Malleshwaram,1237,2,2,5,Semi-Furnished,"Clubhouse, High-Speed Elevators, Swimming Pool, Tennis Court",12110000.0,9789.81,Modern (4-10 yrs),4.55
Electronic City,3462,5,4,18,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Jogging Track, Tennis Court",16160000.0,4667.82,Established (11-20 yrs),4.29
Malleshwaram,994,2,1,4,Furnished,"High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",11600000.0,11670.02,Modern (4-10 yrs),4.64
Indiranagar,994,2,2,28,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Jogging Track",9540000.0,9597.59,Old (20+ yrs),2.95
HSR Layout,3333,5,5,11,Furnished,"Children's Play Area, Clubhouse, Intercom, Power Backup, Swimming Pool",28740000.0,8622.86,Established (11-20 yrs),4.2
Hebbal,1972,3,2,2,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Landscaped Garden",16730000.0,8483.77,New (0-3 yrs),3.3
Indiranagar,578,1,1,24,Unfurnished,"High-Speed Elevators, Landscaped Garden",4580000.0,7923.88,Old (20+ yrs),1.7
Electronic City,1496,3,3,8,Unfurnished,"Children's Play Area, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",7780000.0,5200.53,Modern (4-10 yrs),5.71
Rajajinagar,1085,2,2,8,Unfurnished,"Children's Play Area, Jogging Track, Power Backup",9620000.0,8866.36,Modern (4-10 yrs),1.88
Electronic City,2342,4,3,7,Semi-Furnished,"Intercom, Landscaped Garden, Tennis Court",12930000.0,5520.92,Modern (4-10 yrs),2.5
Hebbal,604,1,1,11,Semi-Furnished,"24/7 Security, Gym, Intercom, Jogging Track",3750000.0,6208.61,Established (11-20 yrs),2.59
